Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance	Lens Focal Length
     292	00:35:11:11	A001C025_211130_ROI7	00:35:11:11	1.490	23.306
     293	00:35:11:12	A001C025_211130_ROI7	00:35:11:12	1.478	23.445
     294	00:35:11:13	A001C025_211130_ROI7	00:35:11:13	1.467	23.590
     295	00:35:11:14	A001C025_211130_ROI7	00:35:11:14	1.457	23.729
     296	00:35:11:15	A001C025_211130_ROI7	00:35:11:15	1.447	23.854
     297	00:35:11:16	A001C025_211130_ROI7	00:35:11:16	1.438	23.968
     298	00:35:11:17	A001C025_211130_ROI7	00:35:11:17	1.431	24.089
     299	00:35:11:18	A001C025_211130_ROI7	00:35:11:18	1.423	24.211
     300	00:35:11:19	A001C025_211130_ROI7	00:35:11:19	1.416	24.337
     301	00:35:11:20	A001C025_211130_ROI7	00:35:11:20	1.409	24.454
     302	00:35:11:21	A001C025_211130_ROI7	00:35:11:21	1.402	24.550
     303	00:35:11:22	A001C025_211130_ROI7	00:35:11:22	1.396	24.631
     304	00:35:11:23	A001C025_211130_ROI7	00:35:11:23	1.391	24.719
     305	00:35:11:24	A001C025_211130_ROI7	00:35:11:24	1.384	24.821
     306	00:35:12:00	A001C025_211130_ROI7	00:35:12:00	1.377	24.932
     307	00:35:12:01	A001C025_211130_ROI7	00:35:12:01	1.370	25.036
     308	00:35:12:02	A001C025_211130_ROI7	00:35:12:02	1.363	25.128
     309	00:35:12:03	A001C025_211130_ROI7	00:35:12:03	1.354	25.196
     310	00:35:12:04	A001C025_211130_ROI7	00:35:12:04	1.345	25.233
     311	00:35:12:05	A001C025_211130_ROI7	00:35:12:05	1.335	25.250
     312	00:35:12:06	A001C025_211130_ROI7	00:35:12:06	1.326	25.261
     313	00:35:12:07	A001C025_211130_ROI7	00:35:12:07	1.318	25.272
     314	00:35:12:08	A001C025_211130_ROI7	00:35:12:08	1.312	25.287
     315	00:35:12:09	A001C025_211130_ROI7	00:35:12:09	1.305	25.298
     316	00:35:12:10	A001C025_211130_ROI7	00:35:12:10	1.300	25.305
     317	00:35:12:11	A001C025_211130_ROI7	00:35:12:11	1.296	25.318
     318	00:35:12:12	A001C025_211130_ROI7	00:35:12:12	1.292	25.345
     319	00:35:12:13	A001C025_211130_ROI7	00:35:12:13	1.288	25.383
     320	00:35:12:14	A001C025_211130_ROI7	00:35:12:14	1.284	25.432
     321	00:35:12:15	A001C025_211130_ROI7	00:35:12:15	1.280	25.494
     322	00:35:12:16	A001C025_211130_ROI7	00:35:12:16	1.276	25.572
     323	00:35:12:17	A001C025_211130_ROI7	00:35:12:17	1.271	25.651
     324	00:35:12:18	A001C025_211130_ROI7	00:35:12:18	1.267	25.735
     325	00:35:12:19	A001C025_211130_ROI7	00:35:12:19	1.261	25.815
     326	00:35:12:20	A001C025_211130_ROI7	00:35:12:20	1.255	25.896
     327	00:35:12:21	A001C025_211130_ROI7	00:35:12:21	1.249	26.005
     328	00:35:12:22	A001C025_211130_ROI7	00:35:12:22	1.242	26.145
     329	00:35:12:23	A001C025_211130_ROI7	00:35:12:23	1.234	26.298
     330	00:35:12:24	A001C025_211130_ROI7	00:35:12:24	1.227	26.446
     331	00:35:13:00	A001C025_211130_ROI7	00:35:13:00	1.220	26.558
     332	00:35:13:01	A001C025_211130_ROI7	00:35:13:01	1.216	26.617
     333	00:35:13:02	A001C025_211130_ROI7	00:35:13:02	1.212	26.644
     334	00:35:13:03	A001C025_211130_ROI7	00:35:13:03	1.209	26.657
     335	00:35:13:04	A001C025_211130_ROI7	00:35:13:04	1.207	26.672
     336	00:35:13:05	A001C025_211130_ROI7	00:35:13:05	1.205	26.702
     337	00:35:13:06	A001C025_211130_ROI7	00:35:13:06	1.202	26.753
     338	00:35:13:07	A001C025_211130_ROI7	00:35:13:07	1.199	26.808
     339	00:35:13:08	A001C025_211130_ROI7	00:35:13:08	1.197	26.867
     340	00:35:13:09	A001C025_211130_ROI7	00:35:13:09	1.195	26.932
     341	00:35:13:10	A001C025_211130_ROI7	00:35:13:10	1.194	27.006
     342	00:35:13:11	A001C025_211130_ROI7	00:35:13:11	1.193	27.101
